# Adapted from Miriade.ephemcc.results
# Request:
# targetType: Planet,targetNumber: 4,targetName: Mars,Diameter: 6780.00 km,Orbital period: 6.86980000E+02 d,Time_Scale: UTC,Planetary_Theory: INPOP13C,Coordinates: Ecliptic,frameType: Astrometric J2000,frameCentre: Geocenter
# Nb rows: 900
Target,Date,Longitude (d:m:s),Longitude (decimal),Latitude (d:m:s),Latitude (decimal)
Mars,2015-03-01,6 41 13.6229,6.68711747,-00 29 17.9130,-0.48830917
Mars,2015-03-02,7 27 2.2465,7.45062403,-00 28 35.5370,-0.47653806
Mars,2015-03-03,8 12 48.4061,8.21344614,-00 27 53.1443,-0.46476231
Mars,2015-03-04,8 58 32.0880,8.97558000,-00 27 10.7400,-0.45298333
Mars,2015-03-05,9 44 13.2819,9.73702275,-00 26 28.3298,-0.44120272
Mars,2015-03-06,10 29 51.9805,10.49777236,-00 25 45.9195,-0.42942208
Mars,2015-03-07,11 15 28.1792,11.25782756,-00 25 3.5151,-0.41764308
Mars,2015-03-08,12 1 1.8757,12.01718769,-00 24 21.1229,-0.40586747
Mars,2015-03-09,12 46 33.0690,12.77585250,-00 23 38.7494,-0.39409706
Mars,2015-03-10,13 32 1.7594,13.53382206,-00 22 56.4008,-0.38233356
Mars,2015-03-11,14 17 27.9477,14.29109658,-00 22 14.0835,-0.37057875
Mars,2015-03-12,15 2 51.6345,15.04767625,-00 21 31.8036,-0.35883433
Mars,2015-03-13,15 48 12.8199,15.80356108,-00 20 49.5671,-0.34710197
Mars,2015-03-14,16 33 31.5022,16.55875061,-00 20 7.3794,-0.33538317
Mars,2015-03-15,17 18 47.6769,17.31324358,-00 19 25.2456,-0.32367933
Mars,2015-03-16,18 4 1.3352,18.06703756,-00 18 43.1699,-0.31199164
Mars,2015-03-17,18 49 12.4625,18.82012847,-00 18 1.1557,-0.30032103
Mars,2015-03-18,19 34 21.0360,19.57251000,-00 17 19.2055,-0.28866819
Mars,2015-03-19,20 19 27.0244,20.32417344,-00 16 37.3204,-0.27703344
Mars,2015-03-20,21 4 30.3867,21.07510742,-00 15 55.5008,-0.26541689
Mars,2015-03-21,21 49 31.0748,21.82529856,-00 15 13.7459,-0.25381831
Mars,2015-03-22,22 34 29.0364,22.57473233,-00 14 32.0547,-0.24223742
Mars,2015-03-23,23 19 24.2185,23.32339403,-00 13 50.4263,-0.23067397
Mars,2015-03-24,24 4 16.5720,24.07127000,-00 13 8.8599,-0.21912775
Mars,2015-03-25,24 49 6.0536,24.81834822,-00 12 27.3557,-0.20759881
Mars,2015-03-26,25 33 52.6272,25.56461867,-00 11 45.9147,-0.19608742
Mars,2015-03-27,26 18 36.2643,26.31007342,-00 11 4.5385,-0.18459403
Mars,2015-03-28,27 3 16.9428,27.05470633,-00 10 23.2294,-0.17311928
Mars,2015-03-29,27 47 54.6468,27.79851300,-00 9 41.9905,-0.16166403
Mars,2015-03-30,28 32 29.3652,28.54149033,-00 9 0.8250,-0.15022917
Mars,2015-03-31,29 17 1.0915,29.28363653,-00 8 19.7368,-0.13881578
Mars,2015-04-01,30 1 29.8232,30.02495089,-00 7 38.7300,-0.12742500
Mars,2015-04-02,30 45 55.5615,30.76543375,-00 6 57.8091,-0.11605808
Mars,2015-04-03,31 30 18.3109,31.50508636,-00 6 16.9786,-0.10471628
Mars,2015-04-04,32 14 38.0794,32.24391094,-00 5 36.2433,-0.09340092
Mars,2015-04-05,32 58 54.8777,32.98191047,-00 4 55.6080,-0.08211333
Mars,2015-04-06,33 43 8.7195,33.71908875,-00 4 15.0779,-0.07085497
Mars,2015-04-07,34 27 19.6201,34.45545003,-00 3 34.6575,-0.05962708
Mars,2015-04-08,35 11 27.5965,35.19099903,-00 2 54.3517,-0.04843103
Mars,2015-04-09,35 55 32.6664,35.92574067,-00 2 14.1649,-0.03726803
Mars,2015-04-10,36 39 34.8472,36.65967978,-00 1 34.1009,-0.02613914
Mars,2015-04-11,37 23 34.1551,37.39282086,-00 0 54.1634,-0.01504539
Mars,2015-04-12,38 7 30.6041,38.12516781,-00 0 14.3551,-0.00398753
Mars,2015-04-13,38 51 24.2044,38.85672344,+00 0 25.3219,0.00703386
Mars,2015-04-14,39 35 14.9609,39.58748914,+00 1 4.8662,0.01801839
Mars,2015-04-15,40 19 2.8721,40.31746447,+00 1 44.2777,0.02896603
Mars,2015-04-16,41 2 47.9284,41.04664678,+00 2 23.5569,0.03987692
Mars,2015-04-17,41 46 30.1117,41.77503103,+00 3 2.7052,0.05075144
Mars,2015-04-18,42 30 9.3959,42.50260997,+00 3 41.7246,0.06159017
Mars,2015-04-19,43 13 45.7489,43.22937469,+00 4 20.6173,0.07239369
Mars,2015-04-20,43 57 19.1355,43.95531542,+00 4 59.3852,0.08316256
Mars,2015-04-21,44 40 49.5210,44.68042250,+00 5 38.0298,0.09389717
Mars,2015-04-22,45 24 16.8738,45.40468717,+00 6 16.5519,0.10459775
Mars,2015-04-23,46 7 41.1679,46.12810219,+00 6 54.9512,0.11526422
Mars,2015-04-24,46 51 2.3832,46.85066200,+00 7 33.2269,0.12589636
Mars,2015-04-25,47 34 20.5060,47.57236278,+00 8 11.3774,0.13649372
Mars,2015-04-26,48 17 35.5282,48.29320228,+00 8 49.4006,0.14705572
Mars,2015-04-27,49 0 47.4468,49.01317967,+00 9 27.2940,0.15758167
Mars,2015-04-28,49 43 56.2631,49.73229531,+00 10 5.0546,0.16807072
Mars,2015-04-29,50 27 1.9825,50.45055069,+00 10 42.6794,0.17852206
Mars,2015-04-30,51 10 4.6139,51.16794831,+00 11 20.1650,0.18893472
Mars,2015-05-01,51 53 4.1698,51.88449161,+00 11 57.5079,0.19930775
Mars,2015-05-02,52 36 0.6666,52.60018517,+00 12 34.7047,0.20964019
Mars,2015-05-03,53 18 54.1237,53.31503436,+00 13 11.7515,0.21993097
Mars,2015-05-04,54 1 44.5641,54.02904558,+00 13 48.6448,0.23017911
Mars,2015-05-05,54 44 32.0141,54.74222614,+00 14 25.3811,0.24038364
Mars,2015-05-06,55 27 16.5020,55.45458389,+00 15 1.9572,0.25054367
Mars,2015-05-07,56 9 58.0580,56.16612722,+00 15 38.3702,0.26065839
Mars,2015-05-08,56 52 36.7128,56.87686467,+00 16 14.6178,0.27072717
Mars,2015-05-09,57 35 12.4962,57.58680450,+00 16 50.6982,0.28074950
Mars,2015-05-10,58 17 45.4362,58.29595450,+00 17 26.6106,0.29072517
Mars,2015-05-11,59 0 15.5567,59.00432131,+00 18 2.3547,0.30065408
Mars,2015-05-12,59 42 42.8769,59.71191025,+00 18 37.9311,0.31053642
Mars,2015-05-13,60 25 7.4097,60.41872492,+00 19 13.3415,0.32037264
Mars,2015-05-14,61 7 29.1607,61.12476686,+00 19 48.5878,0.33016328
Mars,2015-05-15,61 49 48.1277,61.83003547,+00 20 23.6727,0.33990908
Mars,2015-05-16,62 32 4.3009,62.53452803,+00 20 58.5992,0.34961089
Mars,2015-05-17,63 14 17.6642,63.23824006,+00 21 33.3701,0.35926947
Mars,2015-05-18,63 56 28.1971,63.94116586,+00 22 7.9881,0.36888558
Mars,2015-05-19,64 38 35.8773,64.64329925,+00 22 42.4549,0.37845969
Mars,2015-05-20,65 20 40.6832,65.34463422,+00 23 16.7720,0.38799222
Mars,2015-05-21,66 2 42.5963,66.04516564,+00 23 50.9395,0.39748319
Mars,2015-05-22,66 44 41.6023,66.74488953,+00 24 24.9571,0.40693253
Mars,2015-05-23,67 26 37.6920,67.44380333,+00 24 58.8238,0.41633994
Mars,2015-05-24,68 8 30.8612,68.14190589,+00 25 32.5382,0.42570506
Mars,2015-05-25,68 50 21.1103,68.83919731,+00 26 6.0982,0.43502728
Mars,2015-05-26,69 32 8.4442,69.53567894,+00 26 39.5016,0.44430600
Mars,2015-05-27,70 13 52.8713,70.23135314,+00 27 12.7462,0.45354061
Mars,2015-05-28,70 55 34.4038,70.92622328,+00 27 45.8293,0.46273036
Mars,2015-05-29,71 37 13.0575,71.62029375,+00 28 18.7483,0.47187453
