T(K),Rs(Ohmsq)
29.527,1.85548
29.565,7.28151
29.693,3.79314
29.881,-10.66002
30.11,2.55768
30.367,4.68333
30.634,-5.84395
30.908,-0.40354
31.183,1.37872
31.464,-18.92455
31.758,1.59473
32.052,7.06159
32.343,3.0084
32.633,2.2815
32.914,2.66816
33.194,3.81971
33.474,2.87479
33.74,1.70684
34.004,1.57674
34.256,3.79574
34.506,3.73897
34.759,19.95195
35.005,-5.90573
35.248,1.85138
35.71,4.33001
35.935,1.42335
36.157,-0.69602
36.38,3.04799
36.598,-0.24914
36.811,2.40535
37.023,6.93118
37.226,3.87419
37.428,-15.60966
37.623,-3.41439
37.824,7.30883
38.021,1.88215
38.212,3.57576
38.403,-9.25381
38.587,0.93467
38.767,-0.00735
38.948,2.32553
39.121,1.06325
39.298,2.458
39.474,2.52911
39.648,1.23493
39.818,3.76962
39.985,-7.70631
40.149,10.71899
40.314,-1.04403
40.471,6.86515
40.63,-0.4894
40.785,1.39581
40.944,2.29773
41.099,-8.08881
41.255,-13.64887
41.406,0.96834
41.554,1.03225
41.7,3.89521
41.848,-0.69474
41.991,1.755
42.133,1.63475
42.273,-1.04129
42.412,0.38362
42.555,0.04667
42.696,4.10706
42.833,1.45864
42.971,3.33742
43.104,0.7127
43.239,1.20606
43.37,2.37396
43.502,9.66068
43.633,-0.99021
43.761,2.34297
43.885,-2.3892
44.011,0.67575
44.135,1.20979
44.26,1.79531
44.385,1.24191
44.509,1.05462
44.633,1.44093
44.754,-1.38262
44.876,-3.12331
44.993,7.96763
45.114,-6.83106
45.23,0.8841
45.347,2.69207
45.46,11.67651
45.577,3.46321
45.688,-2.27418
45.8,4.91733
45.91,3.2222
46.021,-5.89586
46.135,-12.31328
46.246,2.77482
46.355,-2.47498
46.465,0.61376
46.573,8.27693
46.681,-6.02713
46.786,2.41895
46.893,2.98975
46.998,1.86134
47.102,2.0866
47.205,3.19899
47.307,1.67912
47.408,1.77771
47.51,2.51618
47.609,1.34142
47.709,2.02677
47.807,2.07776
47.909,2.18265
48.009,1.60827
48.107,2.82656
48.208,2.71705
48.304,1.83392
48.404,3.18525
48.499,3.88204
48.596,-2.1
48.69,3.1328
48.784,2.89008
48.878,2.82826
48.973,3.03898
49.064,9.9034
49.156,6.8538
49.245,9.0131
49.338,4.077
49.428,-2.69934
49.518,4.24945
49.607,6.91954
49.699,3.96557
49.79,5.26034
49.881,8.85551
49.969,7.36894
50.06,7.9784
50.15,7.20086
50.242,4.94954
50.333,5.76799
50.416,10.95612
50.504,6.81753
50.591,9.38816
50.677,5.06057
50.764,5.66244
50.847,6.17812
50.932,-0.56291
51.015,-1.08143
51.096,-0.89645
51.181,5.16344
51.263,8.95771
51.345,0.73284
51.428,9.88556
51.513,3.45852
51.596,6.31407
51.678,2.81643
51.759,10.92393
51.842,12.57676
51.922,8.71326
52.005,11.45784
52.083,-8.33191
52.165,8.99367
52.244,11.31649
52.322,13.78657
52.403,23.4878
52.482,16.95097
52.558,18.50528
52.637,16.04659
52.714,13.42923
52.793,20.35778
52.868,16.94755
52.945,17.8425
53.021,20.3747
53.095,21.01267
53.171,27.85255
53.247,27.1979
53.323,23.59271
53.397,29.95966
53.475,29.81746
53.549,28.38895
53.626,35.07681
53.7,32.76076
53.774,30.61464
53.849,34.80323
53.923,11.50997
53.995,41.89256
54.065,43.11098
54.141,47.11472
54.212,48.37418
54.285,52.62918
54.356,69.34638
54.427,57.98504
54.498,59.60846
54.571,63.7858
54.64,64.74687
54.711,50.22544
54.783,50.88881
54.85,75.03689
54.918,82.39071
54.988,83.35536
55.058,87.64209
55.129,94.73387
55.2,96.36352
55.268,101.90164
55.338,106.96524
55.408,113.66271
55.477,115.91886
55.544,138.12959
55.612,127.92507
55.681,134.74604
55.745,148.10152
55.815,146.34498
55.881,152.23274
55.948,160.94633
