# demi-gd axe [UA]	période [j]	masse [m_jupiter]	masse étoile [m_solaire]
1.60044	672.1	11.1883	1.2
0.0761616	7.008151	0.00752338	1.2
0.519687	124.9144	0.0254263	1.2
0.736177	210.60697	0.217563	1.2
0.0530508	4.072	1.32811	1.2
1.25186	471.6	7.12332	1.17
0.996347	331.60059	0.937417	1.2
2.33328	1187.3	11.6809	1.191
0.0465021	3.35524	0.685857	1.191
0.113014	12.7204	0.0899033	1.19
0.034488	2.143634	0.984236	1.19
1.11234	392.6	1.2654	1.19
0.0702822	6.2385	0.0223552	1.19
0.0454854	3.24674	1.02109	1.19
2.60488	1405	4.7347	1.19
0.0499354	3.735433	0.508547	1.19
0.047858	3.509267	0.46004	1.187
0.0365155	2.3412127	1.091	1.184
0.0439208	3.092514	0.902075	1.181
0.0499436	3.7521	0.542797	1.18
0.0469104	3.41587	0.296108	1.18
1.6555	714.3	6.63106	1.18
1.36191	533	6.52644	1.18
4.92406	3668	4.02189	1.18
0.101407	10.8985	0.257999	1.171
0.499878	119.29	1.07139	1.17
3.0184	1770	1.06828	1.17
1.13872	410.1	1.31967	1.17
0.0296639	1.720861232	9.4469	1.167
0.0556348	4.4379637	0.431956	1.166
0.0466223	3.405909	0.479329	1.165
0.99475	335.1	9.87792	1.16
0.0903166	9.20205	0.717419	1.16
1.02595	352.3	0.73	1.16
4.94302	3724.7	1.44975	1.16
0.0267923	1.4857108	2.47943	1.16
0.0342627	2.150008	0.861516	1.16
2.29553	1178.4	2.20004	1.16
2.77219	1561	7.74272	1.159
0.0407152	2.788491	1.05561	1.157
0.846038	264.15	4.02224	1.154
0.0927843	9.6386	0.0345873	1.147
5.34057	4205.8	1.88907	1.147
0.93961	310.54999	0.543322	1.147
1.5273	643.25	1.74552	1.147
0.92376	302.8	2.04683	1.145
2.36847	1244	0.385706	1.145
2.02754	986	0.803694	1.143
1.88529	882.7	4.53249	1.143
0.0513517	3.9791	1.0245	1.14
0.0483417	3.6313	3.0853	1.14
2.91927	1707.8812	1.9487	1.136
1.31029	511.098	9.31534	1.14
0.270013	48.056	0.212171	1.137
0.838172	262.70861	2.3408	1.136
0.555583	141.60001	1.08667	1.14
0.0434856	3.10129	0.62	1.14
0.0375112	2.484193	1.07	1.14
2.23538	1145	0.668676	1.136
1.1851	442.4	1.68512	1.133
0.742283	219.3	1.58936	1.133
0.0553326	4.4652934	0.532369	1.133
0.047235	3.52474859	0.689646	1.131
0.877542	282.4	0.480333	1.13
0.0231971	1.212884	2.09606	1.13
5.13864	3999	2.02633	1.13
1.16537	431.88	2.08215	1.13
2.4447	1313	0.682196	1.13
0.0269122	1.51214	7.69464	1.13
0.0511051	3.97097	0.232142	1.129
2.31864	1214	1.40487	1.127
0.595162	157.54	3.34549	1.13
0.804743	248.4	1.9	1.125
0.110366	12.62	1.13	1.125
2.19755	1120	5.92499	1.123
0.757141	227	1.80603	1.122
1.49006	626.516	3.57445	1.121
4.29488	3066	3.47646	1.121
0.0399686	2.7566	1.01746	1.12
0.0271768	1.545	1.96	1.12
0.0692771	6.27711	1.79992	1.124
1.28031	499.4	2.74209	1.12
2.48556	1353	2.16817	1.117
0.135435	17.24	0.0669595	1.115
0.520765	130.08	0.5122	1.113
2.13177	1075.2	6.23505	1.112
0.0749015	7.10664	0.0139795	1.11
0.53813	136.75	1.77912	1.11
0.0871504	8.9193459	0.0192896	1.11
0.105629	11.9016171	0.0202381	1.11
0.0986522	10.7421	0.0305282	1.11
0.0750769	7.1316185	0.0172607	1.11
2.07477	1035.7	0.807324	1.11
2.51056	1378	2.8434	1.109
0.0750282	7.1268163	1.40112	1.108
5.33414	4270	2.61546	1.108
0.056145	4.617101	0.605385	1.107
0.483601	116.6884	7.46144	1.101
3.17098	1951	18.3282	1.1
0.0522124	4.15474	0.0580667	1.1
0.67057	191.2318	0.0201	1.1
0.450064	103.95	5.78201	1.12
0.183622	27.402	0.0337539	1.1
0.0371348	2.5485799	1.86902	1.05
0.512595	127.58	4.10898	1.1
2.07238	1038.1	1.90296	1.1
2.40085	1290	7.77836	1.102
0.477022	114.73635	1.02138	1.1
0.155007	21.0874	18.1805	1.1
0.0468682	3.53269	0.559059	1.1
1.3728	559.40487	3.06805	1.1
0.114456	13.485	0.10946	1.1
0.0617874	5.35227	0.537982	1.098
2.02175	1003	0.925037	1.095
0.359201	75.29	0.768857	1.09
0.052477	4.20474	0.479479	1.09
0.0577982	4.86069	0.27	1.09
0.119635	14.476	0.0837774	1.09
3.03064	1845	0.956204	1.09
0.051069	4.03519	1.31099	1.09
2.41789	1314	2.2924	1.09
0.636168	177.11	5.22845	1.09
0.0537034	4.3530135	0.473883	1.09
0.127704	15.9654	0.0305195	1.09
0.64119	179.612	0.0877632	1.09
1.98227	974	5.60495	1.09
0.0794132	7.8457	0.43122	1.085
1.02382	363.2	0.338157	1.085
0.0520112	4.1591399	1.13646	1.084
0.152077	20.8133	0.169756	1.083
0.109963	12.8159	0	1.08
0.102439	11.5231	0.0353405	1.08
3.1288	1944.5898	0.608106	1.08
0.226601	37.910254	0.0770689	1.08
1.39638	580	0.80971	1.079
0.0907017	9.605085	0.015142	1.079
0.0617749	5.398763	0.026183	1.079
0.951142	325.81	3.56392	1.078
0.0401409	2.828042	0.91918	1.078
0.0531121	4.3050011	0.512143	1.078
0.811776	255.87	16.8244	1.074
2.49004	1383.4	2.33098	1.074
1.30958	528.40002	1.17965	1.072
0.115423	13.83989	0.0140379	1.071
0.128401	16.23855	0.025489	1.071
3.34651	2151	10.088	1.071
